"Quote","Author","Book"
"The only way out of the labyrinth of suffering is to forgive.","John Green","Looking for Alaska"
"Real courage is when you know you're licked before you begin, but you begin anyway and see it through no matter what.","Harper Lee","To Kill a Mockingbird"
"It is our choices, Harry, that show what we truly are, far more than our abilities.","J.K. Rowling","Harry Potter and the Chamber of Secrets"
"I am not afraid of storms, for I am learning how to sail my ship.","Louisa May Alcott","Little Women"
"Whatever our souls are made of, his and mine are the same.","Emily Brontë","Wuthering Heights"
"The mystery of life isn't a problem to solve, but a reality to experience.","Frank Herbert","Dune"
"In spite of everything, I still believe that people are really good at heart.","Anne Frank","The Diary of a Young Girl"
"It is a far, far better thing that I do, than I have ever done; it is a far, far better rest that I go to than I have ever known.","Charles Dickens","A Tale of Two Cities"
"So we beat on, boats against the current, borne back ceaselessly into the past.","F. Scott Fitzgerald","The Great Gatsby"
"You pierce my soul. I am half agony, half hope.","Jane Austen","Persuasion"
